SCHEMA,TABLE,EXPOSED_THROUGH_DATA_API,RLS_ENABLED,FORCE_RLS,GRANTS_TO_ANON,GRANTS_TO_AUTHENTICATED,POLICY_NAME,POLICY_COMMAND,POLICY_ROLES,USING_EXPRESSION,WITH_CHECK_EXPRESSION,PERMISSIVE_OR_RESTRICTIVE
public,social_posts,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,staff_members,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,staff_tasks,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,staff_tasks owner full access,ALL,{authenticated},true,true,PERMISSIVE
public,talabat_email_deliveries,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,talabat_orders,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,talabat_orders_select,SELECT,{authenticated},true,-,PERMISSIVE
public,talabat_package_jobs,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,talabat_queue,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
public,task_comments,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,task_comments owner full access,ALL,{authenticated},true,true,PERMISSIVE
public,task_routines,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,task_routines owner full access,ALL,{authenticated},true,true,PERMISSIVE
public,tasks,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,authenticated_all_tasks,ALL,{authenticated},true,true,PERMISSIVE
public,variant_shelf_stock,YES,true,false,NONE,SELECT,variant_shelf_stock_select,SELECT,{authenticated},true,-,PERMISSIVE
public,loop_board (VIEW),YES,N/A-view,N/A,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(SECURITY DEFINER VIEW - owner postgres - BYPASSES RLS),ALL,{anon|authenticated},N/A,N/A,N/A
storage,objects,YES,true,false,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,DELETE|INSERT|REFERENCES|SELECT|TRIGGER|TRUNCATE|UPDATE,(NO POLICY - RLS DENIES ALL),-,-,-,-,-
